CID,MolecularWeight,XLogP,HBondDonorCount,HBondAcceptorCount
163940734,385.5,3.5,2,5
164011191,388.5,2.6,2,5
164011193,389.5,2.6,2,5
164037402,388.5,2.6,2,5
164037403,388.5,2.6,2,5
171535075,429.6,3.5,2,5
171535080,403.6,3.2,2,5
175969990,443.4,3.9,2,9
175969991,442.5,4.0,3,9
176912093,471.6,4.0,2,8
176912096,493.5,4.1,2,10
176912097,475.5,3.9,2,9
42644846,401.5,2.8,2,5
42646250,403.5,1.7,3,6
42646251,403.5,1.7,3,6
42646987,402.5,2.2,2,5
42646988,445.6,1.7,2,6
47062010,358.5,2.4,1,5
49853636,401.5,3.0,2,5
49855091,413.5,2.9,2,5
52505415,358.5,2.4,1,5
52505416,358.5,2.4,1,5
56807166,330.4,1.6,1,5
87023783,344.4,2.0,1,5
91639670,435.5,2.3,2,6
91822780,435.5,2.3,2,6
95636304,330.4,1.6,1,5
95636305,330.4,1.6,1,5
99813333,316.4,1.7,1,5
99813334,316.4,1.7,1,5
102558821,316.4,1.7,1,5
110665880,302.35,0.9,2,5
124862466,435.5,2.3,2,6
143879773,427.6,3.6,2,6
156861562,372.5,4.6,1,4
163882491,387.5,3.4,1,5
163882492,388.5,3.4,1,5
163882493,387.5,3.4,1,5
