CID,MolecularWeight,XLogP,HBondDonorCount,HBondAcceptorCount
12749684,162.23,0.6,1,2
13739741,164.25,1.1,1,2
16640569,150.22,1.0,1,2
16744274,191.27,0.2,1,3
17800011,162.23,0.8,1,2
19019816,150.22,1.1,1,2
29984007,160.22,1.0,0,2
45038165,164.24,0.9,1,2
45040112,193.24,1.3,0,4
83636117,179.26,0.1,1,3
25203099,178.27,1.3,1,0
4206586,160.22,1.5,0,2
21127375,180.22,1.3,0,3
11052405,188.27,1.8,0,2
16760026,178.23,0.7,0,2
44264244,274.4,1.1,0,4
44346914,202.3,2.0,0,2
50960421,230.35,3.2,0,2
53524093,218.34,3.0,0,2
71999937,259.39,2.4,0,3
76310537,192.28,0.3,0,2
134793791,230.28,2.1,0,3
22247,177.27,1.2,0,1
90191,149.23,2.8,0,1
126801,163.24,0.3,1,1
129104,194.27,0.9,1,1
162517,187.24,1.0,0,3
176418,176.26,2.0,0,2
204065,219.31,2.6,0,4
16689337,206.35,4.7,0,0
135044121,230.23,2.1,0,5
9926719,275.5,4.7,0,1
13914111,218.34,3.1,0,2
459509,164.25,1.3,0,2
678726,212.29,2.0,0,2
779099,226.32,2.7,0,2
529404,177.29,3.8,0,1
23273541,160.22,1.4,0,2
23423574,150.22,1.8,0,2
545517,162.23,1.1,0,2
571497,162.23,1.1,0,2
1502827,171.24,2.2,0,0
10154194,162.23,1.2,0,2
10702680,185.26,3.0,0,0
12000213,196.67,1.8,0,2
12204926,157.21,2.3,0,0
19433097,145.2,2.0,0,1
85607928,199.29,3.4,0,0
10397737,194.25,1.5,0,3
19105177,194.25,1.5,0,3
19105187,194.25,1.6,0,3
19105200,180.22,1.2,0,3
76319276,222.28,2.5,0,2
76320196,260.3,3.3,0,2
5376807,234.29,2.7,0,2
1121146,245.36,1.7,0,3
4005364,176.26,1.6,1,2
4268756,184.26,3.0,0,0
6453941,177.27,1.2,0,1
58813765,133.19,2.5,0,1
74983085,192.26,1.0,0,2
97216805,218.34,3.0,0,2
13475774,177.29,4.3,0,1
176419,233.35,1.8,0,3
7047808,148.2,0.7,1,2
22299777,176.26,1.6,1,2
55293462,166.2,0.6,1,3
73439561,162.23,1.1,1,2
86812170,205.3,0.7,1,3
134820181,178.27,1.3,1,0
91808047,181.23,1.3,1,2
173304,160.22,2.1,0,1
55278591,166.2,0.6,1,3
139211025,196.26,2.4,0,3
139211031,246.27,2.9,0,5
145864838,230.23,2.2,0,5
783528,254.37,3.5,0,2
2846196,226.32,2.1,0,2
3817841,226.32,2.6,0,2
49824358,274.4,1.1,0,4
91916520,315.5,3.5,0,3
3604369,183.25,3.3,0,0
6116794,183.25,3.1,0,0
16050053,183.25,3.3,0,0
71414247,288.13,1.9,0,2
93017012,183.25,3.1,0,0
176435349,176.26,1.8,0,2
71751018,178.23,0.7,0,2
124833621,194.23,-0.3,0,2
1084920,122.17,0.1,1,2
3409565,171.24,2.2,0,0
4025342,132.16,0.9,0,2
10130292,188.27,1.6,0,2
10487772,185.26,3.0,0,0
10583750,187.24,1.2,0,3
10749518,162.23,1.6,0,2
10773880,185.26,3.0,0,0
10877581,171.24,2.6,0,0
11356897,241.13,2.2,0,2
11449028,206.35,4.7,0,0
11658406,185.26,2.9,0,0
11953625,210.27,2.8,0,2
12006623,210.27,2.8,0,2
12006629,210.27,2.8,0,2
12171536,189.3,4.3,0,1
12220587,122.19,1.8,0,0
12307616,149.23,3.1,0,1
12322159,185.26,3.0,0,0
12345157,178.27,1.8,0,2
12464557,149.23,2.8,0,1
12643084,171.24,2.7,0,0
13153317,131.17,1.6,0,1
13153318,131.17,1.6,0,1
13350815,224.3,3.0,0,2
13811459,161.24,3.2,0,1
14710580,148.2,0.8,1,2
