CID,MolecularWeight,XLogP,HBondDonorCount,HBondAcceptorCount
58251967,375.4,2.6,2,6
58251969,455.5,3.8,2,7
58251972,419.4,3.4,2,7
58251976,475.5,3.3,2,8
58251986,423.9,3.6,2,6
58251988,425.4,2.8,2,8
58251990,375.4,2.6,2,6
58251991,409.9,3.2,2,6
58251992,421.5,3.4,2,7
58252001,447.5,4.0,2,7
58252002,411.4,2.8,2,8
58252005,427.9,3.3,2,7
58252006,433.5,3.6,2,7
58252007,407.4,3.0,2,7
58252008,469.5,4.3,2,7
58252017,441.9,3.7,2,7
58252023,461.5,4.6,2,7
58252027,439.5,3.2,2,8
58252030,447.5,4.1,2,7
58252037,409.9,3.2,2,6
58252042,411.4,2.8,2,8
58252043,421.5,3.4,2,7
58252051,435.4,2.3,2,8
58316735,485.5,4.3,3,9
58316744,489.5,4.0,3,9
58316747,489.5,4.0,3,10
58316764,427.9,3.7,2,7
58316774,437.5,3.1,3,9
58316782,409.4,2.4,3,9
58316816,497.8,4.6,2,9
58316820,489.5,4.0,3,10
58316834,433.5,3.6,3,8
58316841,486.5,2.8,3,10
58316843,427.9,3.7,2,7
58316845,438.8,3.1,2,8
58316891,437.5,3.3,3,9
58316892,423.4,2.7,3,9
58316893,451.5,3.6,3,9
58316897,438.8,3.1,2,8
58316908,485.5,4.3,3,9
58316920,451.5,3.7,3,9
58316939,462.9,4.1,2,8
58316971,419.5,3.1,3,8
58316984,472.5,2.9,3,10
58316999,321.71,3.2,2,5
58317004,477.5,4.1,3,9
58368742,490.5,1.2,4,9
58368818,461.5,1.9,3,9
58368819,394.4,2.0,3,8
58368832,482.5,3.9,3,8
58368833,496.5,3.1,2,9
58368846,482.5,2.7,2,10
58368856,444.5,2.3,2,8
58368882,480.5,4.1,2,8
58368904,485.5,3.5,2,9
58368923,497.5,3.2,4,9
58368931,499.5,3.8,2,9
58368942,483.5,3.8,2,8
58368952,498.5,2.5,4,10
59569593,487.3,3.3,2,6
59569629,474.5,3.7,2,9
60164660,499.0,4.4,2,7
60164876,451.9,2.1,2,8
66644600,409.4,1.6,3,9
66646259,387.4,3.0,2,6
66646421,464.3,4.5,2,6
66646433,487.9,4.6,2,7
66646436,448.8,3.3,2,8
66646502,432.4,3.2,2,8
66646506,450.5,2.2,2,8
66646514,442.9,3.1,2,8
66646540,447.4,3.6,2,10
66646570,479.9,4.7,2,8
66646575,453.9,4.3,2,7
66646576,440.9,2.8,2,8
66646577,436.9,3.1,2,7
66646582,453.9,4.3,2,7
66646586,475.9,4.7,2,7
66646610,447.4,3.7,2,10
66646621,491.6,2.4,2,9
66646625,426.5,3.2,2,7
66646634,424.4,2.7,3,7
66646638,365.4,2.2,2,7
66646640,441.9,4.1,2,7
66646642,413.4,3.4,2,7
66646655,385.8,2.4,2,7
66646657,425.8,3.4,2,7
66646658,375.4,3.0,2,6
66646661,429.9,3.9,2,6
66646666,409.9,3.6,2,6
66646676,497.8,4.8,2,9
66646679,427.9,3.8,2,7
66646693,472.9,3.9,2,7
66646697,487.5,4.8,2,8
66646706,433.4,3.3,2,10
66646709,407.4,3.5,2,7
66646718,497.8,4.8,2,9
66646737,464.3,4.5,2,6
66646743,415.5,3.9,2,6
66646746,401.5,3.5,2,6
66646751,479.9,4.5,2,8
66646760,427.9,3.8,2,7
66646770,427.9,3.8,2,7
66646772,429.9,3.9,2,6
66646774,418.4,2.9,2,8
66646786,401.5,3.5,2,6
66646790,444.5,3.4,2,8
66646793,440.9,2.8,2,8
66646801,413.8,3.2,2,7
66646803,448.8,3.3,2,8
66646809,442.9,3.1,2,8
66646815,414.8,2.4,2,8
66646820,418.4,2.9,2,8
66646828,361.4,2.6,2,6
66646842,413.8,3.2,2,7
66646851,393.8,2.9,2,6
66646872,479.9,4.7,2,8
66646889,405.4,3.1,2,7
66646890,444.5,3.4,2,8
66646891,447.8,4.0,2,7
66646898,427.9,3.8,2,7
66646908,489.9,5.0,2,7
66646918,401.5,3.4,2,6
66646920,413.4,3.4,2,7
66646933,439.9,3.7,2,7
66646936,414.8,2.1,3,8
66646939,429.9,3.9,2,6
66646978,375.4,3.0,2,6
66646982,385.8,2.4,2,7
66646990,387.4,3.0,2,6
66647014,433.5,4.0,2,7
66647031,497.8,4.8,2,9
66647061,471.5,4.1,2,8
66647065,464.5,3.3,2,8
66647075,395.8,3.2,2,6
66647077,407.4,3.5,2,7
66647081,421.5,3.9,2,7
66647082,462.5,3.0,2,8
66647086,400.4,2.8,2,7
66647092,419.4,3.5,2,7
66647098,487.5,4.9,2,8
66647110,386.4,2.2,2,7
66647118,463.4,3.9,2,9
66647124,425.8,3.4,2,7
66647128,393.4,3.0,2,7
66647129,413.8,3.3,2,7
66647130,400.4,2.8,2,7
66647131,474.7,3.9,2,6
66647143,483.8,4.2,2,9
66647146,436.4,2.0,3,8
66647184,439.9,3.7,2,7
66647186,359.4,2.3,2,6
66647194,404.4,2.3,2,8
66679155,380.4,1.5,3,8
66679349,490.9,3.7,3,8
66679532,457.5,2.0,3,9
66684829,383.8,4.4,2,5
66718338,446.8,4.1,2,8
66871046,456.5,3.1,3,8
67173244,466.5,2.8,4,10
67174030,438.8,3.1,2,8
67219187,445.9,2.9,3,8
67300866,480.5,4.1,2,8
67375479,383.8,4.4,2,5
67376769,365.8,4.3,2,4
67571402,473.5,4.3,2,8
67571442,423.5,3.4,2,6
68076568,487.5,4.8,2,8
68098461,479.9,4.1,2,8
68162908,494.0,4.4,2,7
68272455,431.9,3.9,2,6
68272457,454.9,3.6,2,7
68272480,379.8,5.0,2,4
68272510,467.8,3.8,2,8
68279576,375.8,4.5,1,5
68279955,484.5,4.1,2,8
68341613,377.4,1.6,3,8
68428452,442.4,2.8,3,8
68430272,442.4,2.8,3,8
