CID,MolecularWeight,XLogP,HBondDonorCount,HBondAcceptorCount
21345334,459.9,4.0,2,9
21345335,459.9,4.0,2,9
21345336,473.9,4.3,2,9
21847829,401.8,3.7,2,6
21979741,499.9,4.0,2,9
22225674,402.8,4.0,2,7
22225687,496.0,4.9,2,7
22225717,388.8,3.8,2,7
22269916,372.8,4.7,2,6
22269932,372.8,4.9,2,6
22269991,484.9,4.5,2,8
22270036,456.9,3.8,3,8
22270148,358.8,4.3,2,6
22270156,485.5,3.3,2,10
22270187,372.8,4.7,2,6
22452016,499.9,3.6,2,9
22452018,488.0,4.5,2,9
22452027,473.9,4.3,2,9
22452036,488.0,4.5,2,9
22452043,445.9,3.1,2,9
22452045,445.9,3.6,2,9
22452046,459.9,3.8,2,9
22452065,473.9,4.1,2,9
23159397,496.0,5.0,2,7
23159402,496.0,4.8,2,7
23159403,401.9,4.0,2,7
23159404,455.9,4.4,2,7
23159412,459.0,4.0,2,8
23159437,443.9,4.9,2,7
23159438,484.0,4.9,2,7
23658613,441.9,3.2,3,7
24810655,440.8,4.2,2,9
24945289,433.8,2.0,4,8
24945367,461.9,2.7,4,8
24961212,483.3,4.7,2,8
45141337,488.9,4.8,2,8
49848545,469.9,4.5,2,7
53681893,469.9,4.3,2,7
53753433,485.9,3.9,2,8
53845389,456.9,3.8,3,8
54385031,485.5,3.3,2,10
56933186,481.9,4.9,2,7
56933188,481.9,4.6,2,7
56933189,496.0,4.9,2,7
56933203,496.0,4.8,2,7
57007749,496.0,4.9,2,7
57721281,477.9,1.8,4,9
58085952,497.9,3.8,2,8
58085973,497.9,3.8,2,8
58640988,488.0,3.4,3,9
58735296,406.8,3.5,2,6
58735312,460.9,3.9,2,6
58865002,485.9,3.6,2,8
58865006,500.0,3.9,2,8
59081230,415.8,3.3,3,7
59382647,485.9,3.1,3,8
59382667,455.9,3.7,2,7
59382674,500.0,3.6,2,8
59682553,489.9,2.7,3,9
59722264,466.5,3.0,3,9
59981606,491.9,3.7,2,9
60015215,465.5,3.6,2,8
60169073,443.9,3.8,2,8
60169075,457.9,4.3,2,8
66555106,428.8,3.9,2,7
66556612,428.8,3.9,2,7
66584139,372.7,4.6,2,9
66584167,487.9,4.5,2,8
66584187,487.9,4.5,2,8
66584201,346.8,4.2,2,6
66584216,484.0,4.8,2,7
66584256,497.9,3.9,1,7
66584257,497.9,3.9,1,7
66584277,469.9,4.4,2,7
66584279,487.9,4.9,2,8
66584297,421.2,4.1,2,6
66584330,484.0,4.8,2,7
66584336,487.9,4.9,2,8
66584339,346.8,4.3,2,6
66584353,336.72,3.9,2,7
66584354,332.76,3.8,2,6
66609164,419.8,3.2,3,8
66609165,419.8,3.2,3,8
66609294,336.72,3.5,2,7
66616668,500.0,4.0,2,8
66616851,484.0,4.9,2,7
66616893,485.9,3.6,2,8
66616916,500.0,4.0,2,8
66621901,500.0,4.0,2,8
66634711,456.0,4.8,2,7
66670160,485.9,3.9,2,8
66678070,500.0,4.3,2,8
66755427,432.8,3.0,2,8
66755674,490.9,3.3,2,9
66779652,500.0,4.3,2,8
66780296,500.0,4.3,2,8
66780352,485.9,3.9,2,8
66780636,469.9,4.8,2,7
66780648,500.0,4.1,2,8
66780783,500.0,4.3,2,8
66823343,429.9,3.6,2,7
66823742,465.7,4.3,2,6
66922563,416.9,4.1,1,7
66936586,500.0,4.0,2,8
66936587,500.0,4.0,2,8
66936711,500.0,4.0,2,8
66936787,500.0,3.8,2,8
66936865,469.9,4.5,2,7
66979038,402.8,4.3,1,7
67261143,485.9,3.4,2,8
67323461,485.9,3.3,2,8
67334939,481.9,3.8,3,8
67414013,485.9,4.2,2,8
67523800,469.9,4.6,2,7
67962563,485.9,3.2,3,8
67979696,469.9,4.5,2,7
67979787,500.0,4.0,2,8
67979802,469.9,4.5,2,7
68029379,449.5,4.2,2,7
68029559,449.5,4.2,2,7
68037243,409.5,3.3,2,7
68151898,499.9,4.0,2,9
68461131,415.9,4.3,2,7
68470072,455.9,4.5,2,7
68700189,496.0,5.0,2,7
68704139,484.0,4.9,2,7
68704319,496.0,4.8,2,7
68935160,446.9,4.4,1,8
69100140,436.3,3.6,3,7
69100311,389.8,2.7,3,7
69100428,432.9,2.8,3,8
69100536,492.3,4.3,3,7
69100689,401.8,2.9,3,7
69100911,419.8,3.3,2,8
69101007,439.8,3.5,3,9
69101217,445.8,3.3,4,8
69101228,389.8,2.7,3,7
69101253,457.4,3.8,3,9
69108974,485.9,3.3,2,8
69190241,485.9,3.9,3,8
69289788,446.9,4.4,1,8
69320232,465.3,4.7,2,7
69375752,496.0,4.6,3,7
69532789,497.0,4.2,2,8
69532793,497.0,4.0,2,8
69604736,376.8,3.5,2,7
69805748,484.9,4.5,2,8
69861916,479.9,2.1,3,10
69952070,473.9,4.3,2,9
69954608,459.9,3.5,2,9
69955109,473.9,4.3,2,9
70025746,496.0,4.6,3,7
70039585,499.9,3.7,2,9
70039587,499.9,3.7,2,9
70039591,499.9,3.7,2,9
70040117,499.9,3.7,2,9
70040120,499.9,3.7,2,9
70040125,499.9,3.7,2,9
70162664,445.9,3.6,2,9
71020686,465.5,2.8,3,8
71085842,496.0,5.0,2,7
71085844,467.9,4.0,2,7
71085846,496.0,4.9,2,7
71085969,481.9,4.5,2,7
71085970,481.9,4.4,2,7
71086152,496.0,4.9,2,7
71086153,496.0,5.0,2,7
71086157,497.9,3.8,2,8
71244629,473.9,4.4,2,8
71244638,482.3,4.5,2,8
71244660,497.9,4.7,2,10
71244665,473.9,4.4,2,8
71244669,433.8,4.0,2,8
71256409,485.9,3.6,2,8
71469072,440.9,4.1,2,7
71469183,485.9,2.7,2,8
71469184,498.9,2.9,2,8
71469185,498.9,2.9,2,8
71488767,441.9,3.7,2,7
71488786,481.9,4.4,2,7
71488862,481.9,4.4,2,7
71488863,481.9,4.3,2,7
71512057,419.5,3.4,2,7
71512058,491.9,3.7,2,9
71512059,447.9,3.9,2,8
71512061,461.9,4.3,2,8
71512062,447.9,3.9,2,8
71512064,487.9,5.0,2,8
71512474,465.9,4.0,2,9
71512477,482.3,4.5,2,8
71512695,491.9,3.7,2,9
71512941,491.9,3.7,2,9
71512945,487.5,3.7,2,10
71513824,473.9,4.4,2,8
71514289,475.5,3.7,2,8
71514524,461.9,4.6,2,8
71514755,489.9,3.9,2,9
71514756,459.9,4.4,2,8
71514757,459.9,4.4,2,8
71514759,448.8,5.0,2,8
71514954,477.9,4.5,2,9
71515144,477.9,4.5,2,9
71515340,497.9,4.7,2,10
71515342,494.3,4.4,2,8
71515343,406.3,4.3,2,9
71515345,390.8,4.2,2,7
71515346,407.2,4.7,2,6
71549100,473.5,4.3,2,7
71549101,459.5,4.0,2,7
71721623,441.9,3.6,3,7
71726523,455.9,4.1,2,7
71726524,455.9,4.1,2,7
71727013,471.9,3.2,2,8
71727138,473.9,4.2,2,8
71727139,455.9,4.1,2,7
71727141,487.9,4.6,2,8
71727142,497.9,3.2,3,8
71727261,483.9,3.1,2,8
71727474,449.9,4.3,2,7
71727475,456.9,4.1,2,7
71727476,469.9,4.3,2,7
71727477,500.0,4.0,2,8
72202307,487.5,4.5,2,8
72447601,485.9,3.6,2,8
72447605,500.0,3.9,2,8
72984145,467.9,4.3,2,7
72984249,485.0,3.4,2,8
72989471,471.9,3.2,2,8
72994691,467.9,4.6,2,7
72994714,470.9,2.9,3,8
73029189,452.9,3.4,2,7
73061114,485.9,3.7,2,8
73072448,455.9,4.1,2,7
73072605,484.0,4.9,2,7
73776237,437.9,4.7,3,6
75304205,469.9,4.5,2,7
75304233,455.9,4.1,2,7
75304330,441.9,3.6,3,7
75603439,500.0,4.0,2,8
76462563,481.9,4.6,2,7
76663304,497.9,3.8,2,8
76663323,497.9,3.8,2,8
77160603,485.9,3.9,2,8
77990545,441.9,3.7,2,7
77990552,481.9,4.4,2,7
77990591,481.9,4.4,2,7
77990592,481.9,4.3,2,7
78005196,496.0,5.0,2,7
78005198,467.9,4.0,2,7
78005200,496.0,4.9,2,7
78005298,481.9,4.5,2,7
78005299,481.9,4.4,2,7
78005416,496.0,4.9,2,7
78005417,496.0,5.0,2,7
78005420,497.9,3.8,2,8
78045927,473.9,4.4,2,8
78045932,487.9,4.7,2,8
78045933,489.9,3.5,2,9
78092874,419.5,3.4,2,7
78092875,491.9,3.7,2,9
78092876,447.9,3.9,2,8
78092877,461.9,4.3,2,8
78092878,447.9,3.9,2,8
78092982,464.8,4.3,2,9
78093042,465.9,4.0,2,9
78093147,491.9,3.7,2,9
78093245,491.9,3.7,2,9
78093968,489.9,3.9,2,9
78093969,459.9,4.4,2,8
78094033,477.9,4.5,2,9
78094187,494.3,4.4,2,8
78107794,473.5,4.3,2,7
78107795,459.5,4.0,2,7
78122135,441.9,3.5,1,7
78133639,465.9,4.5,2,9
78160578,471.9,3.2,2,8
78160627,473.9,4.2,2,8
78160628,455.9,4.1,2,7
78160630,487.9,4.6,2,8
78160631,497.9,3.2,3,8
78160784,449.9,4.3,2,7
78160785,456.9,4.1,2,7
78160786,469.9,4.3,2,7
78160787,500.0,4.0,2,8
86302725,487.9,3.7,4,8
86305525,483.9,3.5,2,8
86305526,467.9,4.2,2,7
86305624,483.9,3.5,2,8
86305625,497.9,3.5,2,8
86305626,497.9,3.8,2,8
86601522,368.74,4.3,2,8
87059147,350.75,3.8,2,7
87833732,485.9,4.4,1,8
87877993,485.9,4.0,2,9
88571010,482.9,4.7,5,9
89400054,489.9,3.9,2,9
89400057,489.9,3.9,2,9
89400060,487.9,5.0,2,8
89400061,487.9,5.0,2,8
89400062,489.9,3.9,2,9
89400063,433.9,4.3,2,8
89674652,496.0,5.0,2,7
89674704,472.0,4.1,2,8
89682102,427.9,4.1,2,7
89687072,441.9,4.5,2,7
89687078,427.9,4.1,2,7
89687104,457.9,3.9,2,8
89687115,456.0,5.0,2,7
89687162,427.9,4.6,2,7
89691671,413.9,3.8,2,7
90200384,481.9,4.5,3,7
90207239,496.0,4.9,2,7
90207275,461.5,4.2,2,7
90207280,447.5,3.7,2,7
90207282,421.5,3.5,2,7
90207283,461.5,4.1,2,7
90207286,475.6,4.8,2,7
90207290,475.6,4.8,2,7
90207291,461.5,4.2,2,7
90207292,491.6,3.6,2,8
90207293,461.5,4.1,2,7
90207300,406.5,4.9,2,6
90207302,491.6,3.6,2,8
90207303,475.6,4.6,2,7
90282478,473.9,4.4,2,8
90282530,478.8,4.5,2,9
90282531,478.8,4.5,2,9
90282580,473.9,4.8,2,8
90282601,457.7,3.2,3,10
90282611,458.7,2.5,4,10
90282648,487.9,5.0,2,8
90282650,487.9,4.9,3,8
90282658,489.9,3.9,2,9
90282686,475.9,4.6,2,8
90282690,489.9,3.9,2,9
90282760,487.9,4.9,3,8
90293562,499.5,3.6,2,10
90322801,477.7,4.3,1,6
90322882,386.8,3.6,1,6
90322883,344.8,4.2,2,6
90322884,491.7,4.6,1,6
90322885,423.3,4.2,2,6
90702530,473.9,4.8,2,9
90726894,469.9,4.3,2,7
90815994,485.9,3.6,2,8
91014875,481.9,5.0,2,7
91019719,485.9,3.6,2,8
91029885,484.0,4.9,1,8
91062218,500.0,4.0,2,8
91070725,499.9,4.0,2,9
91237881,386.8,4.1,2,6
91347259,500.0,4.0,2,8
91362456,484.0,4.9,2,7
91424563,485.9,4.6,2,8
91550458,499.9,4.6,2,8
91578177,499.9,5.0,2,8
91806375,486.9,5.0,3,8
92135819,471.9,3.2,3,8
97041548,485.9,3.6,2,8
102503101,419.9,4.3,2,6
117679693,472.8,2.9,4,10
117685051,481.9,4.5,2,7
117685052,483.9,3.5,2,8
117685053,483.9,3.3,2,8
117685055,467.9,4.3,2,7
117685056,497.9,3.7,2,8
117685057,467.9,4.2,2,7
117685100,496.0,4.9,2,7
117685116,484.0,4.9,3,7
117685133,496.0,4.9,2,7
117685136,497.9,3.8,2,8
117685150,484.0,4.9,3,7
117685152,483.9,3.5,2,8
117685158,469.9,4.4,3,7
117685159,481.9,4.7,2,7
117821534,479.7,4.7,2,6
117821596,500.0,4.0,2,8
117821859,485.9,3.6,2,8
117932271,354.71,4.4,2,8
117983508,497.9,4.4,2,8
118670406,456.9,4.6,2,7
118867743,483.7,4.4,2,7
118900257,418.8,3.5,2,7
118900258,376.8,3.6,2,7
118900262,376.8,3.7,2,7
118900266,488.9,3.6,2,9
118900296,376.8,3.7,2,7
118900310,376.8,3.7,2,7
118900313,390.8,4.2,2,7
118900320,390.8,4.1,2,7
118906450,485.9,3.5,3,8
122422235,471.9,3.2,2,8
122422259,457.9,4.3,3,8
122422274,401.9,3.6,3,7
122422278,455.9,4.1,2,7
122422299,500.0,4.0,2,8
122422305,445.9,3.4,3,8
122422316,427.9,3.4,2,7
122485637,485.8,4.0,2,10
123152372,346.8,4.5,2,6
123159146,467.9,4.2,2,7
123161611,479.7,4.7,2,6
