CID,MolecularWeight,XLogP,HBondDonorCount,HBondAcceptorCount
59369408,493.3,3.1,2,9
59779527,430.9,4.9,1,7
66678898,376.4,4.4,1,7
66764317,375.4,5.0,1,6
66804246,437.5,3.2,1,9
66874998,475.4,4.9,2,7
67026355,459.3,3.8,2,8
67202036,491.4,4.5,2,8
67274262,460.2,5.0,1,10
67314642,493.3,5.0,2,8
67314954,410.5,4.6,2,7
67519609,398.4,3.1,2,8
67699214,405.4,4.9,1,7
67759960,448.3,4.2,0,7
68024868,410.5,4.7,2,7
68035131,431.5,3.0,1,9
68247548,382.4,3.9,2,7
68564208,461.3,4.8,2,7
68737483,475.4,4.9,1,7
68848952,475.4,4.8,2,7
68903050,447.3,4.3,2,7
69053346,421.4,5.0,1,8
69186936,475.4,4.9,2,7
69647341,420.2,4.3,1,7
69667344,412.5,3.8,1,8
69920190,475.4,4.3,2,7
70003892,457.5,3.3,3,8
70164043,476.3,5.0,0,7
70192098,378.2,4.1,1,6
70835248,382.4,3.9,2,7
70880600,445.9,4.0,2,8
70889499,461.3,4.5,2,7
70909539,447.3,4.1,3,7
70909613,461.3,4.6,2,7
70946702,494.3,4.0,1,9
70946724,476.3,3.9,1,8
70987239,396.5,4.3,1,7
71085484,476.3,4.0,1,8
71180101,468.5,4.7,1,10
71180171,424.4,4.4,1,8
71180438,408.4,4.5,1,8
71202611,387.4,3.2,1,8
71273954,422.4,5.0,1,8
71572916,452.5,4.1,1,8
71572917,476.5,4.4,1,8
77915649,392.2,4.4,1,6
86566319,489.3,4.4,1,7
87096882,400.4,2.3,2,9
87139383,323.3,3.6,1,6
87139406,323.3,3.6,1,6
87520178,487.3,4.2,1,8
87520824,458.4,4.1,1,10
87520849,436.5,4.2,1,8
87776507,446.9,4.3,0,8
88232533,465.3,4.1,1,9
88567001,499.5,3.0,1,10
89584484,451.5,4.0,2,8
89669585,426.5,4.0,1,8
89773042,341.4,4.6,1,6
89821701,382.4,4.7,1,7
89946989,475.4,4.9,1,7
89993985,410.5,3.8,1,7
90337664,465.6,4.4,1,8
90337669,479.6,4.8,1,8
90337673,466.5,4.5,1,8
90337682,479.6,4.8,1,8
90337685,465.6,4.3,1,8
90337688,479.6,4.8,1,8
90337689,465.6,4.4,2,8
90337693,479.6,4.8,1,8
90337694,479.6,4.8,1,8
90337695,479.6,4.6,2,8
90337696,482.5,4.0,1,9
90337697,465.6,4.2,2,8
90337703,465.6,4.2,2,8
90337710,466.5,4.5,1,8
90337725,479.6,4.8,1,8
90337727,466.5,4.5,1,8
90337733,480.6,5.0,1,8
90714041,493.3,3.2,4,9
90735292,473.5,3.9,3,8
90756100,493.3,3.4,4,9
90967757,491.4,3.9,2,8
90969733,475.4,4.8,1,7
91030270,461.3,4.6,1,9
91177611,475.4,4.4,1,7
91234534,460.3,4.3,2,7
91424629,458.3,4.1,1,7
91535433,454.5,4.6,2,8
91561268,476.3,4.9,1,7
117657506,422.4,5.0,1,8
118111979,356.4,3.4,2,7
118112042,412.5,3.8,3,8
118884409,469.3,5.0,1,7
118884410,463.3,4.9,1,7
118884415,435.2,3.0,2,7
118884427,461.3,4.7,1,7
118884431,449.3,4.5,1,7
118884433,491.4,4.5,2,7
118884434,477.3,4.1,2,7
118884437,463.3,3.7,2,7
118884438,475.4,5.0,1,7
118884439,458.3,3.9,1,7
118884443,492.3,3.5,2,8
118884448,462.3,4.7,1,7
118884449,472.3,4.2,1,7
122628507,391.4,5.0,1,7
122628522,391.4,5.0,1,7
122628529,391.4,5.0,1,7
122628540,391.4,5.0,1,7
122628864,405.4,4.9,1,7
124027240,460.5,2.4,1,8
126526695,468.6,5.0,1,8
129239920,449.3,3.4,2,7
129262852,484.3,4.4,1,8
129263047,392.2,4.5,1,6
129263093,476.3,4.1,1,8
129263132,384.4,4.2,1,7
129263160,490.4,4.4,1,8
129314833,459.3,4.0,1,8
130310879,396.5,4.3,1,7
130310886,398.5,4.6,1,7
130310887,404.4,4.7,1,7
130310888,384.4,4.2,1,7
130310898,397.4,4.4,1,7
130310901,410.5,4.7,1,7
130310902,398.5,4.6,1,7
130310904,396.5,4.3,1,7
130310907,410.5,4.7,1,7
134271513,393.4,4.6,1,9
134271530,393.4,4.6,1,9
134566551,397.4,4.1,1,7
135493544,382.16,3.9,2,7
137455747,460.4,4.7,1,10
137455748,460.4,4.7,1,10
137455755,442.4,4.6,1,9
137455759,442.4,4.6,1,9
137455770,442.4,4.6,1,9
137455774,460.4,4.7,1,10
138506152,404.2,4.8,1,6
138513763,315.27,3.3,1,7
138513764,402.2,4.6,1,6
138513771,404.2,4.8,1,6
138513781,390.2,4.4,1,6
138513793,404.2,4.8,1,6
138513842,315.27,3.3,1,7
138513844,315.27,3.3,1,7
138513845,333.26,3.4,1,8
138513867,297.28,3.2,1,6
138513881,392.18,3.4,2,7
140539409,435.3,4.6,2,7
141076239,386.4,3.7,2,8
141100063,461.3,4.5,2,7
141171343,447.3,4.2,2,6
141171349,485.3,5.0,1,6
141171353,405.3,4.2,1,6
141171369,392.2,4.0,1,6
141210955,383.4,3.8,1,7
141221557,433.3,3.9,2,7
141376722,466.3,4.2,1,8
141376732,484.3,4.3,1,9
141424477,343.4,3.7,1,7
141528308,484.3,4.8,1,8
141726469,435.5,4.4,1,8
141726475,435.5,4.4,1,8
141726488,437.5,3.2,1,9
141726496,395.4,3.6,1,8
141726498,437.5,3.7,1,9
141726500,421.5,4.6,1,8
141726501,395.4,3.6,1,8
141726502,435.5,4.4,1,8
141726503,423.5,4.3,1,8
141726513,423.5,4.3,1,8
141726514,437.5,3.7,1,9
141726525,421.5,4.6,1,8
141726538,435.5,5.0,1,8
141726541,435.5,5.0,1,8
142167801,448.3,3.7,3,8
142552067,402.2,4.6,1,6
142552090,311.31,3.6,1,6
142674968,398.4,3.2,1,8
142674977,434.4,3.5,2,10
142674979,463.3,3.4,2,8
142674985,448.4,4.0,1,10
142674986,398.4,3.1,2,8
142674998,375.4,5.0,1,6
142675004,384.4,2.7,2,8
142675022,477.3,3.9,1,8
142675027,412.5,3.6,1,8
142675038,375.4,5.0,1,6
142675042,477.3,3.9,1,8
142675045,398.4,3.2,1,8
142675048,463.3,3.4,2,8
142675055,412.5,3.6,1,8
142675056,491.4,4.2,1,8
142675057,477.3,3.9,1,8
142675058,463.3,3.4,2,8
142677243,420.2,3.7,2,7
142677245,473.3,4.9,1,7
142760486,470.4,4.7,1,9
142776451,475.4,4.1,1,7
142791163,476.3,4.1,1,8
142963108,406.2,4.6,1,6
143016049,439.5,3.3,2,8
143200579,463.3,3.7,3,9
143282716,341.4,4.7,1,6
143429986,382.4,3.8,2,7
143966625,410.5,4.7,1,7
144021349,442.5,4.0,2,6
144370595,355.4,4.8,1,6
144478959,440.5,4.0,0,8
144862281,440.5,4.3,1,8
145172262,407.4,4.9,1,7
145561273,354.4,3.2,2,7
145577318,475.5,3.4,3,9
145577375,465.6,4.4,2,8
146180718,396.5,4.2,1,7
146180749,439.5,3.4,2,8
146180795,425.5,4.2,2,8
146323717,487.4,4.4,1,7
148992750,396.5,4.3,2,7
153100982,427.5,2.8,2,9
155084683,442.5,3.5,1,9
155237953,485.3,4.5,1,7
156052067,454.5,3.1,0,9
156052071,456.5,3.3,0,9
156082968,441.5,3.5,2,9
156417600,426.5,3.4,2,9
156417619,424.5,5.0,1,7
156687144,387.4,3.2,1,8
156814297,356.4,3.2,2,7
159935863,339.4,4.5,1,6
162532867,473.3,4.9,1,7
162532868,406.2,3.3,2,7
162532869,406.2,3.3,2,7
162532870,420.2,3.8,3,7
162532871,473.3,4.9,1,7
162532874,447.3,4.4,1,7
162532876,489.3,4.0,1,8
162532878,394.17,4.0,1,7
162532879,433.3,4.0,1,7
162532881,459.3,4.5,1,7
162532883,420.2,3.7,2,7
162532884,447.3,4.4,1,7
162532886,475.3,3.7,1,8
162532887,459.3,4.5,1,7
162532888,475.3,3.7,1,8
162532891,433.3,4.0,1,7
162532893,488.4,3.8,1,8
162532896,473.3,4.9,1,7
162532897,473.3,4.9,1,7
162532899,474.3,3.4,2,8
162532901,488.4,3.8,1,8
162532902,390.2,4.3,1,6
162532908,489.3,4.0,1,8
162532909,394.17,4.0,1,7
162766714,474.3,3.4,2,8
162766717,433.3,4.0,1,7
162766718,488.4,3.8,1,8
163413422,410.4,3.3,1,8
163483561,437.5,3.9,1,8
163505043,484.3,3.4,1,9
163550465,368.4,3.7,1,7
163550466,368.4,3.7,1,7
163550467,394.4,4.2,1,7
163550468,408.5,4.5,1,7
163550469,424.5,3.7,1,8
163588480,493.6,3.9,3,9
163591132,382.4,4.1,1,7
163591133,409.5,3.0,2,8
163591134,423.5,3.5,1,8
163591135,423.5,3.5,1,8
163639811,408.5,4.5,1,7
163639812,422.5,4.9,1,7
163639813,437.5,3.9,1,8
163796812,408.5,4.5,1,7
163862892,498.3,3.8,1,9
163899874,406.2,3.3,2,7
163943778,484.3,3.4,1,9
163949256,424.5,3.7,1,8
163949257,422.5,4.9,1,7
163981343,423.5,3.5,1,8
164122008,394.4,4.2,1,7
164122009,410.4,3.3,1,8
164122010,408.5,4.5,1,7
164122011,423.5,3.5,1,8
164702644,406.2,3.3,2,7
164702646,420.2,3.7,2,7
165003586,341.4,4.6,1,6
165055672,443.5,4.5,1,8
166515148,479.5,4.7,1,9
166515167,479.5,4.7,1,9
166515168,479.5,4.7,1,9
166515170,479.5,4.7,1,9
167023431,466.3,4.6,1,8
167023432,452.3,4.3,1,8
167023657,488.4,4.3,1,8
167073352,426.5,4.2,1,8
167576414,482.6,5.0,0,8
169938794,342.4,2.9,2,7
170323485,491.3,4.9,1,8
170323488,491.3,4.9,1,8
170323493,474.3,3.4,2,8
170323495,474.3,3.4,2,8
170374509,444.4,4.9,1,9
170374511,426.5,4.6,1,8
170374518,394.4,4.2,1,7
170374519,394.4,4.2,1,7
170374520,437.5,3.9,1,8
170374522,437.5,3.9,1,8
170374523,408.5,4.5,1,7
170374524,408.5,4.5,1,7
170374528,368.4,3.7,1,7
170374529,410.4,3.3,1,8
170374531,410.4,3.3,1,8
170374543,404.2,4.9,1,6
170374582,404.2,4.9,1,6
170374583,473.3,4.9,1,7
170374584,475.3,3.7,1,8
170374586,459.3,4.5,1,7
170374921,474.3,3.8,2,8
170375034,459.3,4.5,1,7
170375055,473.3,4.9,1,7
170375072,433.3,4.0,1,7
170375073,475.3,3.7,1,8
170622574,440.18,1.3,5,10
170622577,404.2,4.8,1,6
170622594,392.2,4.3,1,6
171562394,404.2,4.8,1,6
171562399,394.2,4.3,1,6
173269680,442.5,3.5,1,8
175031882,441.3,5.0,1,7
175034719,412.5,3.7,2,8
450975,359.21,4.0,1,5
